A search for each of these words against the search database available on 7 March 2000 gave these results

	* "pattern": 1376 hits/ 378 page titles (5.0%)
	* "Wiki": 1408 hits/ 279 page titles (3.7%)
	* "XP": 856 hits/200 page titles (2.7%)
	* "ExtremeProgramming: 10 hits/ 83 page titles (1.1%)

The database contained 7546 pages.

It's interesting to compare those last two separately, rather than combine them. 

Please append to, rather than modifying these figures, so that we can compare against them at some later date. My guess would be that in, say, a years time, the XP pages will be a lower proportion of the total, since the WikiMind will have drifted elsewhere. --KeithBraithwaite

'''May 12th, 2001'''
	* "pattern": 2130 hits/ 479 page titles (3.13%)
	* "Wiki":  ?? hits/727 page titles (4.76%)
	* "XP":  ?? hits/406 page titles (2.66%)
	* "ExtremeProgramming": ?? hits/145  page titles (0.94% of total)

The database contained 15,289 pages. Searching for word hits didn't work too well, as the size of the resulting pages caused network dropouts.

The database grew by 102%. ExtremeProgramming grew by 75%. XP grew by 104%, Wiki grew by 161%, and patterns by 27%.

----
It is a part of usual LanguageOrientedProgramming practice to look at the words that are used in a system. I had postponed this for a while (being new to the Wiki), but now I did.

The list at the end of this page is the first part of the output of processing wikiList.

If you do this on a software API you usually find something interesting. Special words, redundant words, wrong words ... but at first sight, I didn't find anything of significance.

Of course, if you look at the first few lines (strip some simple words) you find what this Wiki is about: Wiki Programming Patterns Extreme.

But when I read on, I felt like a shaman priest having thrown a bag of bones to read the present and the future:

	* Is * Xp * In * Pattern * Software ?
	* Software * For * Java * Language
	* Design * Object * Test 
	* Do * Group * Project
	* Why * Your * Model ?
	* First * Good * Process
	* Refactor * All * Com * Data
	* Just * More * Net * Server
	* Meta * Source * Challenge
	* Challenge * Programmer * Books
	* Open * Pages * Change * Engineering
	* Can * Music * Need * Public ?
	* Thousand * Uml * Based * Exception
	* Quality * Science * Talk * Who ?
	* Rule * Rules
	* Abstract * Before * Common * Interfaces
	* We * Writing * Browser * Classes
	* Document * Factory * Implementation
	* Plan * Programmers * Reuse
	* Components * Considered * Dead 
	* Its * Joe !
	* Know * Leadership
	* Null * Person * Reading * Requirements
	* Clear * Culture
	* Human * Ideal * Inheritance
	* Where * Zen * Applications
	* Evolving * Experiment * External * Failure
	* Fast * Forth * Groups
	* Linux * Load * Never

to name just a few. Just try it! Perhaps some expert can read and interpret this. I'm unable to. -- HelmutLeitner

''If you play a little loose, the very first few words sum up Wiki pretty well:''
	* The * Wiki * Of * Programming * And * Patterns

----

See also WikiMines.

----

On a similar note, I am trying to divise a way to determine the "centres" of a wiki (or things similar to wikis). My best attempt so far has been http://usemod.com/cgi-bin/mb.pl?ShortestPathPages. -- SunirShah

----

As one might expect, the number of occurrences of a given WikiWord per WikiPage obeys a PowerLaw. This hypothesis was tested in March 2003 with 724 pages containing the WikiWord "Unit''''''Test". A LogLog plot of the count of the pages with a given number of occurrences of "Unit''''''Test" was created. The values are linear for the first two orders of magnitude, though they diverge from the ideal value as the number of occurrences of "Unit''''''Test" per page increases:

http://www.thorgolucky.com/~cheesebrains/UnitTest.frequency.gif

Linear regression yields ''r''-squared = 0.936.

A second test with "Extreme''''''Programming" and 1,189 BackLink''''''ed pages gave a similar result, with ''r''-squared = 0.950:

http://www.thorgolucky.com/~cheesebrains/ExtremeProgramming.frequency.gif

Binning the data increases ''r''-squared to 0.99+.

----

''The original version of this list counted each entry twice. This has been corrected.''

Files: 1  Found: 80843 

Count Statistic:
 582 The
 541 Wiki
 463 Of
 293 And
 272 Programming
 247 Patterns
 234 To
 232 Extreme
 225 Is
 210 Xp
 208 In
 202 Pattern
 189 Software
 172 For
 166 Java
 163 Language
 161 Design
 146 Object
 126 Test
 111 Code
 110 Page
 108 On
  93 Web
  90 What
  85 As
  84 Category
  83 With
  82 John
  80 Are
  79 Not
  78 Smalltalk
  76 Unit
  75 It
  73 Discussion
  73 You
  72 Two
  70 Refactoring
  69 One
  68 Use
  67 Mc
  66 Do
  63 Group
  62 Project
  61 David
  60 How
  59 New
  58 From
  57 By
  56 About
  55 This
  54 Component
  54 Topic
  54 Work
  53 At
  52 Testing
  52 Vs
  50 Be
  50 Ejb
  50 Objects
  50 System
  50 Systems
  49 Development
  49 Dont
  49 Meeting
  48 User
  48 Visual
  47 Name
  47 Why
  47 Your
  46 Model
  46 Tcpg
  45 Management
  45 Michael
  45 Time
  44 First
  44 Good
  44 Process
  42 Class
  42 People
  41 Method
  40 Refactor
  39 All
  39 Com
  39 Data
  39 Free
  39 Just
  39 More
  39 Net
  39 Server
  39 That
  39 Three
  38 Architecture
  38 Link
  38 Mark
  38 Problem
  38 Value
  37 Big
  37 Book
  37 Interface
  36 Changes
  36 No
  36 Peter
  35 An
  35 Bill
  35 Cpp
  35 Jim
  35 Meta
  35 Source
  34 Challenge
  34 Programmer
  33 Books
  33 Case
  33 Dot
  33 Exceptions
  33 List
  33 Open
  33 Pages
  32 Change
  32 Engineering
  32 Mike
  32 My
  32 Robert
  31 Computer
  31 Dave
  31 Plus
  31 Principle
  30 Game
  30 Links
  30 Microsoft
  30 Oriented
  29 Pair
  29 Tom
  28 De
  28 Eric
  28 Go
  28 Methodology
  28 Story
  27 James
  27 Knowledge
  27 Mode
  27 Richard
  27 Steve
  27 Thing
  27 Way
  26 Bob
  26 Me
  26 Mind
  26 Space
  26 Up
  26 World
  25 Art
  25 Business
  25 Chris
  25 Example
  25 Form
  25 Function
  25 Law
  25 Real
  25 Stories
  25 Technology
  25 Vb
  25 Ytwok
  24 Information
  24 Martin
  24 Nine
  24 Or
  24 Paul
  24 Python
  24 Things
  24 Tim
  24 Too
  23 Alan
  23 Anti
  23 Ats
  23 Community
  23 Framework
  23 History
  23 Recent
  23 State
  23 Team
  23 Tests
  23 Text
  23 Thomas
  23 When
  23 Write
  22 Analysis
  22 Bad
  22 Delete
  22 Great
  22 Isa
  22 Life
  22 Make
  22 Metaphor
  22 Perl
  22 Thread
  22 Twenty
  22 Words
  22 Works
  21 Basic
  21 Beans
  21 Box
  21 Can
  21 Music
  21 Need
  21 Public
  21 Thousand
  21 Uml
  20 Based
  20 Exception
  20 Home
  20 Idea
  20 Languages
  20 Quality
  20 Science
  20 Talk
  20 Who
  20 Word
  19 Brian
  19 Coding
  19 Does
  19 Four
  19 Functional
  19 Green
  19 Jeff
  19 Once
  19 Review
  19 Rule
  19 Rules
  19 Self
  19 Should
  19 Smith
  19 Stone
  19 Users
  18 Abstract
  18 Before
  18 Common
  18 Interfaces
  18 Like
  18 Non
  18 Oo
  18 Out
  18 Scott
  18 Script
  18 Seven
  18 Together
  18 Tool
  18 We
  18 Writing
  17 Browser
