These are pages about times and time systems utilized in the process of programming. 

To see a list of the pages included in this category, Click on the title of this page.

For example:

* AbsoluteTime
* AnalysisTime
* CategoryRealTimePatterns
* CompileTime
* CompileTimeError
* CompileTimeTypingProblem
* ContinuousDesign
* CycleTime
* DateAndTime
* DaylightSavingTime
* EmittingTime
* ExtremeTimeSpans
* FakeTime
* FeedbackOnNanosecondTimescales
* IdealProgrammingTimeHomeworkAssignment
* IdealTime
* InternetTime
* JavaUnitTestFrameworkWithTimeout
* JustInTime
* JustInTimeCompilation
* JustInTimeCompiler
* JustInTimeDesign
* JustInTimeDesignReview
* JustInTimeInheritance
* JustInTimeProgramming
* MeanTimeBetweenFailureForSoftware
* NearRealTime
* NebulousUnitOfTime
* PercentageOfDesignTime
* PrototypeAllTheTime
* RealActualHubbleTelemetryData
* RealTime
* RealTimeOperatingSystem
* RealTimeTechniques
* RealTimeVsMissionCritical
* RedBarTime
* RefactoringBetweenCompileTimeAndRunTimeOperations
* RiverOfTime
* RunTimeError
* RuntimeException
* SoakTime
* TheTimeOutStrategy
* ThinkingTime
* TimeAndAttentionBrokenEconomy
* TimeBoxing
* TimeExpirationError
* TimeFrameProcessingArchitecture
* TimePresentThisIteration
* TimeSink
* TimeSynchronousProcessing
* TurnaroundTime
* TypingTime
* RtLinux
* SoftwareLifeCycle
* ZombieTechnologies

----
'''Comments'''

''Except that they aren't. A hint to the person or persons mindlessly (via script, I assume) categorizing pages - Time in the title doesn't mean the page is concerned with time and programming. See ExposureTimeCalculator. If categories are to be just cached FindPage searches like this, we can do without them.''

ExposureTimeCalculator is about calculating the exposure time for the HubbleTelescope. It is about time and it is about programming, using the various variables in a calculation which determines how long the exposure should be. 
----
CategoryCategory
