The Southern California XP Users Group discusses and explores issues relating to agile processes and Extreme Programming.  We are based in Los Angeles/Orange County but also cover the area from San Diego, north to Santa Barbara, and out to Riverside and even Bakersfield and Barstow.  As the membership grows, we can split and regroup for the convenience of the members.

We're currently discussing how to grow our group.  We've been meeting for informal lunch discussions every other Wednesday (see the mailing list for schedule and location).  You're invited to participate and offer your suggestions and opinions.

To learn more about the xpsocal group, please visit http://agilesocal.com/ , join our Yahoo Group at http://tech.groups.yahoo.com/group/xpsocal or join our LinkedIn group "Agile SoCal".  Be sure to check the list archives for announcements and ongoing discussions.

PaulHodgetts & PaulMoore (Agile/XP So. Cal. moderators)
----
Next Meeting:
* August 27 - TBA 

Past Meetings:
*Brent Chalker, The Impact of Agile Quantified, July 2014
* Roger Brown, The Agile Coaching Profession, June 2014
* Chris Waggoner, Exploit Core Scrum Practices at the Program Level, May 2014
* David Brown, The Value of Story Mapping, April 2014
* Jon Jorgensen, A Spoon Full of Scrum, March 2014
* Scott Dunn, Agile Leader Storyline, Feb 2014
* Woody Zuill, Mob Programming, Jan 2014
* Kate Megaw & John Miller, Values-Driven Metrics for Agile Teams, Nov 2013
* Llewellyn Falco, Hands-on Workshop for Better Unit Testing, Oct 2013
* Johanna Rothmann, Agile Teams and Collaboration, Oct 2013
* Jim Elvidge, The Power of Intuition, August 2013
* PaulHodgetts & Paul Moore, Retrospective workshop, July 2013
* Brent Chalker, SAFe - the Scaled Agile Framework, June 2013
* John Ryan, Agile Documentation Through Specification by Example, May 2013
* Steve Dempsen, Winning the Agile-Waterfall Impedance Mismatch, April 2013
* Alline Watkins, User-Driven Development & The Lean Enterprise, March 2013
* George Schlitz, Agile Beyond the Teams, February 2013
* Alan Dayley, The Product Owner Role: Have Fun With It, January 2013
* David Brown, First American's Agile Transition, November 2012
* Rachele Maurer, Business Analysts & Agile Project Management, October 2012
* Paul Moore & John Ryan, Agile Programmer Fishbowl, September 2012
* Brant Cooper & Patrick Vlaskovits, The Permanent Tomorrow (Lean Entrepeneur), August 2012
* PaulHodgetts & Paul Moore, Game-A-Palooza, July 2012
* Scott Downey, Scrum Metrics for Hyper-Productive Teams, June 2012
* Scott Smith, Cucumber/BDD, May 2012
* Steve Dempsen, ScrumBan, Apr 2012
* LlewellynFalco, Intentional Code, Mar 2012
* Woody Zuill, Agile Success, Feb 2012
* Jim Elvidge, Dare To Challenge, Jan 2012
* PaulHodgetts & PaulMoore, Hands-On Kanban Quick Start Workshop, Nov 2011
* Jim McCarthy, A Golden Era of Technological Culture?, Oct 2011
* Craig Jones, Simplicity Appreciation 101, Sep 2011
* Scott Dunn, Accelerating Your Success by Discovering Your Strengths, Aug 2011
* Skip Angel, What Are We Supposed to Do with These Managers NOW?  Jul 2011
* John Ryan, Managing Technical Debt, Jun 2011
* Jim Benson, The Three C's: Continuous Improvement, Collaboration and Communication, May 2011
* Michele Sliger, Does the Project Manager Have a Future in Agile?, Apr 2011
* PaulHodgetts, Implementing Kanban Systems, Mar 2011
* Jez Humble, Continuous Delivery, Feb 2011
* Mike Cohn, Self-Organizing Teams, Jan 2011
* Travis Morgan, Agile at Taco Bell, Dec 2010
* LlewellynFalco, Top 10 Unit Testing Mistakes, Nov 2010
* Darrin Ladd, Effective Retrospectives, Oct 2010
* Sean Buck, Enterprise Adoption Experience Report, Sept 2010
* PaulHodgetts, Story Mapping Workshop, August 2010
* Alan Shalloway, Tuning Scrum with Lean Thinking, July 2010
* Tobias Mayer, A Collaboration Exploration, June 2010
* George Schlitz, Agile Planning, May 2010
* LlewellynFalco & Woody Zuill, Coding Dojo, April 2010
* Amr Elssamadisy, Crafting an Agile Adoption Strategy, Mar 2010
* Giora Morein, Distributed Agile, Feb 2010
* PaulHodgetts, Strategies for Agile Architecture, Jan 2010
* PaulHodgetts & PaulMoore, The XP Game, Nov 2009
* LisaCrispin, 7 Key Factors for Agile Testing Success, Oct 2009
* Adam Sroka, Feedback in Agile, Sept 2009
* George Schlitz, Mapping the Enablement Battlefield, Aug 2009
* PaulHodgetts, Agile Planning Workshop, July 2009
* LlewellynFalco & Woody Zuill, Code Excellence for the Average Programmer, June 2009
* Grig Gheorghiu, Automated Testing Techniques and Tools, May 2009
* Clinton Keith, Agile Game Development, April 2009
* PaulHodgetts, User Story Writing Workshop, Mar 2009
* George Schlitz, Agile Project Execution, Feb 2009
* PaulHodgetts, Comparing Agile Processes and How They Work, Jan 2009
* PaulHodgetts & PaulMoore, The XP Game, Dec 2008
* Susan Elliott Sim, User Stories, Jan 2007
* MichaelFeathers, Working Effectively with Legacy Code, Jan 2006
* MicahMartin, FitNesse Acceptance Testing Framework, Nov 2004
* PaulHodgetts, Agile Project Management, Aug 2004
* PhilipCraigPlumlee, Test First User Interfaces, Jul 2004
* MaryPoppendieck, Lean Thinking for Software Development, Oct 2003
* LindaRising, Introducing New Ideas into Organizations, Oct 2003
* PaulHodgetts, The Agile Customer's Toolkit, Aug 2003
* JeffMcKenna/Denise Phillips, Agile Development Conference Report, Jul 2003
* JosephBeckenbach, The XP Tester Role, Jun 2003
* JeffMcKenna, What Should Students Know About Agile Development?, Apr 2003
* KenSchwaber, The Skeleton and Heart of Agile Processes, Mar 2003
* JeffMcKenna, The Introduction of Agile Techniques into Organizations, Jan 2003
* RobertCecilMartin ("Uncle Bob"), Agile Software Development:Principles, Patterns, and Practices, Nov 2002
* KenSchwaber, Scrum / The Agile Alliance, Oct 2002
