''ObjectThinking '' by DaveWest

http://ec1.images-amazon.com/images/P/0735619654.01._SCMZZZZZZZ_.jpg

ISBN:0735619654 

The foundation of all ObjectOriented SoftwareDesign, including AgileMethodology such as ExtremeProgramming, is object thinking. 

''It is? Many of these ideas are orthogonal to OO.''

But many developers have not mastered its underlying concepts and principles relying on methodology and process instead of fully exploiting the power of object thinking in software design.
----
Related Topics:
* ComputerThinking
* ForwardThinking
* ObjectThinkers
* AgileDevelopment
* AgileMethods
* ExtremeProgrammers
* ExtremeProgramming
* SyncreticApproach
* AssessorClass
* BankClass
* InstantiateMessage
* ExpenseCollection
* CollectionClass
* CollectiveMemoryMap
* GestaltMap
* UnifiedModelingLanguage
* VisualBasic
* SoftwareArtifact
* SoftwareCrisis
* SoftwareEngineeringMethods
* DomainAnthropologist
* DomainAnthropology
* SemanticNet
* NaturalJoints
* PaymentObjectObject
* SoftwareObjects
* ObjectCube
* ObjectCubeIdiom
* ObjectCulture
* ObjectParadigm
* ObjectRouting
* ObjectVocabulary
* PassiveData
* QualityWithout
* TimelessWay
Names Mentioned:
*  AlanKay
*  BradCox
*  ChristopherAlexander
*  DavidParnas
*  GradyBooch
*  KentBeck
*  MarvinMinsky
*  PeterCoad
*  RobertGlass
----
CategoryBook
